yorum,toksisite_skoru,seviye,Toksik,Ağır Toksik,Müstehcen,Tehdit,Hakaret,Kimlik Nefreti
"Thank you for the detailed article, it really helped me understand the topic better.",0.0057,Güvenli,0.0057,0.0008,0.0021,0.0006,0.003,0.001
"I disagree with your point of view, but I can see why you might think that way.",0.0031,Güvenli,0.0025,0.0014,0.0028,0.0003,0.0024,0.0031
Could you please clarify what you mean in the third paragraph?,0.0043,Güvenli,0.0043,0.0031,0.0033,0.0003,0.004,0.0015
"The weather is really nice today, I think I'll go for a walk.",0.016,Güvenli,0.0141,0.0022,0.013,0.0007,0.0154,0.016
You are killing it with these new updates! Amazing job!,0.0677,Güvenli,0.0677,0.0028,0.0035,0.0103,0.0021,0.0084
"I'm not a racist, but people who live there are so lazy sometimes.",0.3907,Dikkat,0.3907,0.0031,0.0793,0.0039,0.0851,0.0471
This movie is a complete garbage and a waste of time.,0.6074,Toksik,0.6074,0.0059,0.0268,0.0005,0.0216,0.0052
"You are a complete idiot, shut your mouth and never speak again.",0.9998,Toksik,0.9998,0.0544,0.8577,0.0005,0.9951,0.0025
"Wow, you are so stupid that it physically hurts me to read your comments.",0.6695,Toksik,0.6695,0.0022,0.0967,0.0016,0.1286,0.0022
"Nobody cares about your pathetic opinion, loser.",0.9834,Toksik,0.9834,0.0121,0.0139,0.0002,0.5354,0.0162
You are such a hypocrite clown.,0.9807,Toksik,0.9807,0.012,0.0397,0.0013,0.5309,0.0433
"Go f**k yourself, you absolute piece of s**t.",0.6556,Toksik,0.6556,0.302,0.1469,0.001,0.3927,0.064
"Motherf****r, I can't believe how dumb your entire existence is.",0.6412,Toksik,0.6412,0.014,0.1818,0.0014,0.2152,0.0614
"Kiss my a$$, you annoying b**ch.",0.4043,Dikkat,0.4043,0.0242,0.2856,0.0009,0.0534,0.0079
"All gay people should just be sent to prison, they are disgusting.",0.9092,Toksik,0.9092,0.0137,0.0549,0.0029,0.1468,0.2334
"Black people are the reason this country is failing, pack your bags and leave.",0.3341,Dikkat,0.3341,0.0034,0.012,0.0058,0.0374,0.113
Muslims are all terrorists and should be banned from entering.,0.1862,Güvenli,0.1862,0.002,0.0082,0.0001,0.0192,0.0383
I know where you live and I am going to come to your house and kill you tonight.,0.7401,Toksik,0.6041,0.0135,0.0299,0.7401,0.023,0.0061
I will slit your throat if you ever post something like this again.,0.0819,Güvenli,0.0819,0.012,0.0071,0.0155,0.0054,0.0053
Somebody should shoot you in the head to make the world a better place.,0.1679,Güvenli,0.1679,0.0193,0.0197,0.0248,0.0373,0.0055
