yorum,toksisite_skoru,seviye,Toksik,Ağır Toksik,Müstehcen,Tehdit,Hakaret,Kimlik Nefreti
"Thank you for the detailed article, it really helped me understand the topic better.",0.0014,Güvenli,0.0014,0.0006,0.0012,0.0008,0.001,0.0008
"I disagree with your point of view, but I can see why you might think that way.",0.0036,Güvenli,0.0036,0.0003,0.0013,0.0004,0.0011,0.0005
Could you please clarify what you mean in the third paragraph?,0.0017,Güvenli,0.0017,0.0005,0.0012,0.0006,0.001,0.0007
"The weather is really nice today, I think I'll go for a walk.",0.0027,Güvenli,0.0027,0.0005,0.0012,0.0008,0.0012,0.0008
You are killing it with these new updates! Amazing job!,0.6353,Toksik,0.6353,0.0032,0.0147,0.0337,0.0391,0.0054
"I'm not a racist, but people who live there are so lazy sometimes.",0.7508,Toksik,0.7508,0.0015,0.0166,0.0026,0.1462,0.0313
This movie is a complete garbage and a waste of time.,0.8794,Toksik,0.8794,0.0024,0.0438,0.0036,0.1719,0.0052
"You are a complete idiot, shut your mouth and never speak again.",0.9855,Toksik,0.9855,0.0739,0.6992,0.0343,0.9387,0.0294
"Wow, you are so stupid that it physically hurts me to read your comments.",0.9644,Toksik,0.9644,0.0096,0.2671,0.0067,0.7675,0.0109
"Nobody cares about your pathetic opinion, loser.",0.9535,Toksik,0.9535,0.0138,0.2161,0.0129,0.8244,0.0197
You are such a hypocrite clown.,0.9607,Toksik,0.9607,0.0149,0.2285,0.0085,0.8336,0.0319
"Go f**k yourself, you absolute piece of s**t.",0.9931,Toksik,0.9931,0.5233,0.9824,0.0564,0.9234,0.0288
"Motherf****r, I can't believe how dumb your entire existence is.",0.9917,Toksik,0.9917,0.0431,0.7742,0.0216,0.7005,0.015
"Kiss my a$$, you annoying b**ch.",0.9908,Toksik,0.9908,0.0591,0.9077,0.0055,0.8325,0.0156
"All gay people should just be sent to prison, they are disgusting.",0.9419,Toksik,0.9419,0.0475,0.1842,0.0432,0.3691,0.7009
"Black people are the reason this country is failing, pack your bags and leave.",0.8016,Toksik,0.8016,0.0143,0.0335,0.0332,0.1256,0.3429
Muslims are all terrorists and should be banned from entering.,0.7952,Toksik,0.7952,0.0201,0.0512,0.0333,0.1278,0.4875
I know where you live and I am going to come to your house and kill you tonight.,0.7811,Toksik,0.7811,0.196,0.2033,0.719,0.2638,0.1296
I will slit your throat if you ever post something like this again.,0.8423,Toksik,0.8423,0.1753,0.2644,0.6589,0.2394,0.0968
Somebody should shoot you in the head to make the world a better place.,0.7381,Toksik,0.7381,0.0481,0.0732,0.4343,0.1348,0.0643
